merchant_id,avg_txn_value,failed_txns_last_7d,support_tickets_last_30d,csat_score,settlement_delay_avg,api_failure_rate,active_days_last_month,delight_score
MID_00046,3735.47,2,2,4.7,0.84,0.073,21,0.458
MID_00047,7341.11,4,1,5.0,0.87,0.083,21,0.456
MID_00048,7912.24,3,0,3.1,1.75,0.072,13,0.405
MID_00049,2043.89,5,0,4.1,1.94,0.341,21,0.279
MID_00050,34928.07,2,3,3.5,1.01,0.337,19,0.424
MID_00051,14922.45,1,3,4.2,1.02,0.026,19,0.516
MID_00052,28050.94,4,2,2.3,2.38,0.356,26,0.283
MID_00053,22521.52,0,1,4.1,1.16,0.056,28,0.717
MID_00054,9110.54,3,3,3.4,1.34,0.07,19,0.312
MID_00055,25494.35,3,2,4.8,1.27,0.13,10,0.491
MID_00056,926.55,2,2,3.5,2.14,0.195,27,0.327
MID_00057,2181.35,4,2,2.9,2.54,0.382,14,0.115
MID_00058,462.82,6,2,4.4,2.15,0.063,13,0.156
MID_00059,3935.32,2,6,4.5,1.16,0.261,10,0.167
MID_00060,4921.3,4,2,5.0,0.66,0.14,19,0.37
MID_00061,3165.6,2,1,5.0,1.05,0.227,28,0.508
MID_00062,17645.58,5,0,4.1,1.21,0.068,23,0.476
MID_00063,4412.27,1,0,4.2,0.63,0.074,17,0.575
MID_00064,3298.03,2,2,3.0,1.18,0.173,30,0.354
MID_00065,7824.07,4,3,4.3,1.4,0.228,15,0.259
MID_00066,1518.98,3,1,4.6,1.79,0.17,16,0.375
MID_00067,16204.84,0,2,4.5,2.54,0.229,29,0.604
MID_00068,774.76,3,2,4.0,1.53,0.353,25,0.28
MID_00069,43341.46,2,2,3.4,2.28,0.153,29,0.519
MID_00070,14794.84,4,3,3.8,2.48,0.268,15,0.251
MID_00071,2215.39,1,4,3.6,2.71,0.151,23,0.28
MID_00072,55.37,3,3,3.5,1.64,0.457,30,0.186
MID_00073,16898.97,4,1,3.8,1.46,0.202,11,0.383
MID_00074,12270.96,1,2,3.6,2.01,0.2,13,0.438
MID_00075,13056.63,1,0,3.6,0.82,0.064,20,0.618
MID_00076,14752.15,6,1,4.6,1.51,0.208,24,0.36
MID_00077,769.29,3,0,4.4,1.07,0.088,23,0.459
MID_00078,4438.93,2,1,4.2,2.16,0.123,25,0.461
MID_00079,1231.5,6,2,2.2,0.62,0.02,23,0.105
MID_00080,19885.3,2,4,4.6,1.21,0.552,29,0.39
MID_00081,9763.01,1,1,4.1,1.5,0.008,26,0.592
MID_00082,4018.19,1,1,3.4,1.15,0.108,22,0.472
MID_00083,656.68,3,2,3.6,1.43,0.101,27,0.314
MID_00084,3724.88,3,2,4.3,1.31,0.03,20,0.379
MID_00085,3933.14,2,0,4.5,1.54,0.183,18,0.501
MID_00086,13078.76,4,0,3.4,1.08,0.181,10,0.394
MID_00087,10148.89,4,1,3.8,2.1,0.031,23,0.4
MID_00088,21822.52,2,3,4.2,1.35,0.193,17,0.453
MID_00089,6390.66,4,0,3.6,1.17,0.241,17,0.363
MID_00090,1273.72,3,5,3.5,1.75,0.045,20,0.145
MID_00091,12491.26,3,3,4.2,1.04,0.141,27,0.404
MID_00092,14303.93,3,0,3.5,0.88,0.07,23,0.528
MID_00093,8238.87,2,1,4.6,1.61,0.138,16,0.498
MID_00094,14738.9,1,1,4.3,0.13,0.174,21,0.616
MID_00095,6808.15,0,2,4.6,1.67,0.096,10,0.522
MID_00096,7396.79,4,3,3.0,1.99,0.007,22,0.233
MID_00097,5578.14,4,1,3.8,2.34,0.068,21,0.342
MID_00098,257.48,4,5,3.6,0.49,0.179,16,0.076
MID_00099,1141.67,2,2,3.6,0.24,0.19,21,0.355
MID_00100,319.34,4,4,4.6,2.38,0.094,10,0.146
MID_00101,10117.3,2,2,4.3,0.59,0.347,10,0.403
MID_00102,3773.97,4,3,4.6,1.15,0.276,21,0.255
MID_00103,7104.37,3,1,3.1,1.25,0.092,21,0.381
MID_00104,23812.66,3,1,3.2,1.14,0.052,15,0.475
MID_00105,2867.39,3,2,4.0,2.1,0.322,14,0.259
MID_00106,5282.82,3,4,5.0,0.78,0.112,18,0.324
MID_00107,14087.49,2,1,4.2,1.54,0.349,23,0.499
MID_00108,2598.05,3,2,4.6,1.31,0.082,21,0.379
MID_00109,801.04,4,4,3.1,1.07,0.081,20,0.123
MID_00110,3421.4,2,1,3.3,1.49,0.203,17,0.368
MID_00111,1758.08,4,1,3.2,2.59,0.533,20,0.168
MID_00112,26549.5,3,2,4.0,0.54,0.175,27,0.508
MID_00113,16508.87,1,3,3.9,2.17,0.235,13,0.423
MID_00114,10034.94,1,3,3.6,0.64,0.179,21,0.43
MID_00115,20515.2,5,2,3.1,0.0,0.176,15,0.305
MID_00116,16279.69,1,2,4.5,2.54,0.046,30,0.594
MID_00117,2064.95,3,2,2.9,1.09,0.232,11,0.213
MID_00118,22308.13,3,2,3.7,1.73,0.126,26,0.46
MID_00119,7751.0,0,2,4.0,1.56,0.164,15,0.5
MID_00120,16473.48,1,1,4.2,2.6,0.104,25,0.598
MID_00121,22642.43,2,2,5.0,0.37,0.093,22,0.61
MID_00122,3827.31,1,3,4.4,1.24,0.043,20,0.435
MID_00123,1165.92,0,3,3.9,0.85,0.104,25,0.441
MID_00124,2586.87,1,4,3.4,0.1,0.161,25,0.329
MID_00125,5570.58,1,1,5.0,2.03,0.146,25,0.568
MID_00126,17038.3,3,3,4.9,1.61,0.178,30,0.465
MID_00127,19713.45,1,4,4.7,1.04,0.466,20,0.436
MID_00128,69.76,4,2,4.3,1.11,0.164,20,0.27
MID_00129,7148.76,6,1,4.7,0.7,0.042,26,0.365
MID_00130,5402.73,3,2,3.9,1.18,0.203,26,0.359
MID_00131,2511.67,3,4,5.0,1.51,0.052,29,0.331
MID_00132,1276.8,3,3,4.6,2.58,0.086,24,0.3
MID_00133,4119.09,3,2,4.1,0.98,0.121,26,0.379
MID_00134,28631.21,4,2,2.6,1.94,0.124,30,0.371
MID_00135,3903.84,5,2,4.5,1.74,0.285,13,0.21
MID_00136,7314.53,6,4,4.6,0.91,0.249,12,0.118
MID_00137,12140.87,8,5,4.5,2.0,0.187,30,0.051
MID_00138,4519.74,6,4,2.7,2.05,0.28,26,0.0
MID_00139,35677.98,3,5,4.9,0.91,0.225,13,0.363
MID_00140,32820.1,2,1,3.5,2.1,0.13,16,0.531
MID_00141,2900.61,4,0,4.1,1.42,0.192,16,0.361
MID_00142,6876.59,2,2,3.5,1.28,0.374,20,0.342
MID_00143,3579.3,2,2,4.1,1.84,0.143,16,0.369
MID_00144,3352.5,3,4,4.5,2.56,0.222,25,0.241
MID_00145,375.84,2,2,3.6,1.84,0.313,24,0.3
MID_00146,9404.92,3,3,5.0,1.05,0.277,13,0.355
MID_00147,6985.2,6,1,2.4,2.24,0.084,23,0.176
MID_00148,528.51,2,7,4.0,1.05,0.255,16,0.077
MID_00149,3266.26,3,1,5.0,2.29,0.061,15,0.424
MID_00150,23888.61,3,6,3.3,1.98,0.123,21,0.22
MID_00151,2738.61,1,1,5.0,1.07,0.162,13,0.517
MID_00152,1565.31,1,2,4.9,3.71,0.085,21,0.438
MID_00153,6722.72,4,3,3.2,3.91,0.135,24,0.182
MID_00154,42440.37,1,1,5.0,0.9,0.122,15,0.702
MID_00155,2771.45,3,2,4.3,1.32,0.047,12,0.34
MID_00156,11151.55,3,2,3.1,0.57,0.109,11,0.341
MID_00157,14338.88,4,5,5.0,2.86,0.273,22,0.235
MID_00158,2713.33,3,3,4.2,0.73,0.047,18,0.315
MID_00159,13027.49,2,2,4.5,0.79,0.176,26,0.52
MID_00160,4585.23,2,2,3.4,0.89,0.206,27,0.38
MID_00161,10005.04,6,1,4.7,0.66,0.063,18,0.359
MID_00162,10038.38,4,1,3.4,0.65,0.208,24,0.372
MID_00163,7673.85,2,1,4.2,1.18,0.207,13,0.454
MID_00164,946.29,5,1,3.1,2.4,0.125,23,0.199
MID_00165,18036.45,1,3,4.9,2.22,0.377,21,0.488
MID_00166,3868.1,3,3,4.6,0.3,0.026,21,0.373
MID_00167,2064.32,1,0,3.9,0.68,0.115,23,0.545
MID_00168,416.3,3,0,3.7,1.32,0.026,16,0.398
MID_00169,8937.78,2,1,3.3,2.06,0.096,18,0.431
MID_00170,11318.52,6,1,3.5,2.06,0.183,17,0.241
MID_00171,167.27,2,0,3.4,1.58,0.272,12,0.36
MID_00172,7176.31,1,0,3.0,1.59,0.268,15,0.463
MID_00173,2568.24,2,1,4.7,0.94,0.081,12,0.463
MID_00174,10361.24,2,2,3.5,1.41,0.053,26,0.453
MID_00175,1916.04,5,1,4.0,0.52,0.282,15,0.242
MID_00176,11742.13,1,2,3.8,1.02,0.09,23,0.522
MID_00177,4889.59,2,5,3.2,2.93,0.135,19,0.168
MID_00178,27603.44,2,3,3.9,2.27,0.025,16,0.463
MID_00179,1479.44,4,2,5.0,1.85,0.156,19,0.31
MID_00180,4171.32,3,2,3.1,1.08,0.103,23,0.312
MID_00181,1204.44,4,2,4.2,1.52,0.245,19,0.248
MID_00182,25861.9,1,0,4.0,2.63,0.078,19,0.657
MID_00183,20983.34,3,3,3.8,0.76,0.084,10,0.386
MID_00184,2983.27,2,1,3.4,2.94,0.087,13,0.351
MID_00185,10787.63,3,1,4.7,0.77,0.109,24,0.523
MID_00186,16994.84,2,2,3.4,1.27,0.207,17,0.432
MID_00187,8101.32,1,3,4.1,1.02,0.047,26,0.48
MID_00188,7542.79,6,2,5.0,2.29,0.108,10,0.238
MID_00189,2768.77,3,1,3.1,0.93,0.379,28,0.312
MID_00190,977.26,2,0,4.0,0.43,0.153,20,0.477
MID_00191,22751.23,3,2,3.8,1.01,0.162,25,0.471
MID_00192,23067.74,5,3,4.2,0.83,0.114,11,0.313
MID_00193,10026.7,5,2,3.5,2.09,0.122,12,0.226
MID_00194,4140.47,4,3,3.4,0.94,0.204,19,0.199
MID_00195,4295.68,1,3,4.2,1.83,0.303,16,0.35
MID_00196,12944.65,3,1,3.9,1.44,0.14,14,0.438
MID_00197,22740.97,0,1,4.3,1.92,0.115,12,0.649
MID_00198,21811.33,5,1,4.2,2.03,0.17,21,0.407
MID_00199,15135.62,1,2,3.1,1.5,0.193,30,0.495
MID_00200,10273.11,4,0,4.6,2.32,0.043,10,0.449
MID_00201,878.92,2,3,3.2,1.17,0.151,29,0.294
MID_00202,1762.94,2,5,2.9,1.43,0.164,22,0.154
MID_00203,22882.31,3,2,4.8,1.31,0.266,14,0.468
MID_00204,9324.94,4,1,4.6,1.51,0.065,10,0.403
MID_00205,92.4,4,1,3.8,2.2,0.061,16,0.276
MID_00206,1069.97,3,1,4.9,1.43,0.261,18,0.384
MID_00207,10891.62,3,2,4.4,0.97,0.414,15,0.361
MID_00208,50.74,5,2,3.2,0.9,0.125,29,0.196
MID_00209,1753.16,4,0,3.9,0.6,0.086,24,0.402
MID_00210,7956.98,7,3,3.1,0.14,0.291,10,0.034
MID_00211,11773.15,4,0,4.6,1.69,0.086,22,0.504
MID_00212,10554.41,6,1,4.7,0.83,0.236,24,0.345
MID_00213,2539.5,8,0,2.6,0.0,0.079,23,0.142
MID_00214,12454.17,3,1,4.3,1.42,0.154,14,0.456
MID_00215,2708.24,3,4,4.7,2.04,0.06,29,0.303
MID_00216,3936.35,3,4,4.0,1.54,0.124,27,0.263
MID_00217,13723.58,6,1,5.0,1.38,0.214,19,0.362
MID_00218,10487.74,2,3,3.8,1.94,0.063,23,0.399
MID_00219,18919.56,3,0,4.3,1.26,0.245,23,0.558
MID_00220,10718.13,2,2,5.0,1.59,0.156,26,0.522
MID_00221,8400.44,4,1,3.3,1.63,0.269,25,0.324
MID_00222,983.57,3,5,3.3,1.59,0.305,25,0.098
MID_00223,4584.16,1,2,4.7,1.93,0.17,29,0.501
MID_00224,3081.6,2,2,3.4,0.97,0.384,16,0.292
MID_00225,2797.0,2,0,3.2,2.24,0.063,15,0.412
MID_00226,36123.09,5,2,5.0,1.13,0.099,24,0.477
MID_00227,4993.87,3,3,3.6,2.51,0.319,20,0.218
MID_00228,22260.55,5,0,4.1,2.29,0.028,23,0.482
MID_00229,9973.34,1,2,4.1,2.85,0.286,17,0.431
MID_00230,15838.25,1,1,3.6,1.41,0.042,19,0.575
MID_00231,6984.35,2,4,5.0,1.06,0.105,12,0.365
MID_00232,8601.56,2,1,4.4,2.86,0.084,20,0.488
MID_00233,6782.93,2,2,3.8,2.36,0.164,15,0.363
MID_00234,2172.15,4,1,3.9,0.98,0.072,20,0.338
MID_00235,12817.62,4,5,4.5,0.97,0.078,29,0.295
MID_00236,3295.77,2,1,3.7,2.38,0.136,30,0.43
MID_00237,246.16,1,0,5.0,2.04,0.181,26,0.562
MID_00238,10369.69,3,1,2.6,0.44,0.119,22,0.392
MID_00239,1949.34,3,3,3.4,2.04,0.279,10,0.16
MID_00240,28210.83,0,3,3.6,1.56,0.046,20,0.57
MID_00241,30775.62,3,1,3.4,1.82,0.168,28,0.51
MID_00242,24635.1,3,2,4.2,1.82,0.224,21,0.459
MID_00243,4622.87,5,0,3.6,0.74,0.055,28,0.379
MID_00244,155.77,2,3,4.6,0.97,0.131,11,0.319
MID_00245,26355.23,1,2,4.6,1.61,0.15,16,0.59
MID_00246,5589.38,2,2,5.0,1.66,0.081,27,0.495
MID_00247,34008.42,1,1,5.0,1.0,0.115,17,0.701
MID_00248,33137.35,2,1,3.6,1.93,0.085,12,0.536
MID_00249,19173.87,2,0,3.5,2.37,0.051,14,0.548
MID_00250,3487.76,4,1,4.4,1.95,0.158,22,0.351
MID_00251,4862.92,3,3,4.5,1.3,0.152,10,0.295
MID_00252,19047.27,4,3,4.6,1.4,0.011,11,0.381
MID_00253,3811.46,6,4,4.3,1.64,0.059,25,0.134
MID_00254,1857.19,1,1,5.0,1.77,0.151,27,0.543
MID_00255,8137.37,3,1,3.7,1.15,0.2,16,0.389
MID_00256,27512.93,2,2,4.0,1.25,0.181,22,0.528
MID_00257,11908.26,3,0,4.1,2.32,0.216,14,0.46
MID_00258,8441.12,4,0,4.9,2.09,0.305,29,0.468
MID_00259,1022.28,7,0,4.3,1.81,0.062,22,0.243
MID_00260,9545.31,1,1,3.9,0.15,0.113,13,0.541
MID_00261,46105.7,6,1,4.2,1.93,0.122,27,0.425
MID_00262,1509.21,4,1,4.2,2.01,0.247,17,0.284
MID_00263,7304.95,1,1,4.5,0.55,0.131,25,0.586
MID_00264,20986.09,3,1,3.1,2.04,0.272,23,0.424
MID_00265,13500.34,3,4,4.1,1.05,0.186,10,0.289
MID_00266,11940.74,5,0,3.4,2.46,0.113,27,0.379
MID_00267,12122.88,2,4,4.4,1.9,0.204,22,0.367
MID_00268,4454.92,0,1,3.9,1.73,0.374,15,0.468
MID_00269,3475.62,1,4,4.5,0.95,0.124,21,0.381
MID_00270,16573.75,2,2,2.3,0.0,0.164,18,0.401
MID_00271,16613.28,2,2,4.5,1.99,0.054,29,0.552
MID_00272,20179.5,4,1,4.1,1.57,0.037,25,0.494
MID_00273,24446.16,2,3,4.6,1.01,0.334,22,0.48
MID_00274,7160.93,2,3,5.0,1.03,0.037,17,0.447
MID_00275,6961.84,4,3,3.8,0.75,0.027,23,0.301
MID_00276,16009.5,4,2,4.2,0.01,0.291,25,0.41
MID_00277,10497.19,10,0,4.4,0.52,0.227,20,0.171
MID_00278,12105.51,5,2,3.4,1.33,0.296,11,0.213
MID_00279,15886.19,5,2,3.5,1.58,0.212,27,0.308
MID_00280,22073.23,1,0,4.0,1.64,0.235,17,0.627
MID_00281,4124.82,4,1,3.7,1.36,0.415,24,0.282
MID_00282,4709.37,3,1,4.2,1.68,0.182,27,0.418
MID_00283,986.96,2,2,3.9,1.08,0.11,30,0.4
MID_00284,8634.14,4,1,3.9,1.45,0.061,25,0.407
MID_00285,366.04,0,2,4.1,1.96,0.037,12,0.443
MID_00286,6266.07,3,1,4.1,1.88,0.097,11,0.386
MID_00287,7822.95,2,1,5.0,0.51,0.1,19,0.558
MID_00288,3376.31,6,2,3.0,2.09,0.314,27,0.099
MID_00289,8936.33,7,3,3.7,2.27,0.313,11,0.035
MID_00290,309.75,6,2,4.5,2.01,0.064,28,0.213
MID_00291,380.63,4,3,4.1,2.04,0.203,22,0.192
MID_00292,17293.51,1,1,5.0,0.22,0.21,17,0.65
MID_00293,4465.85,6,2,4.5,1.59,0.273,24,0.208
MID_00294,1358.89,5,6,4.5,1.12,0.319,18,0.007
MID_00295,7386.54,3,5,4.6,2.01,0.1,23,0.263
MID_00296,14696.48,3,0,3.7,1.45,0.317,19,0.468
MID_00297,2431.18,2,2,2.9,1.65,0.121,27,0.331
MID_00298,9752.2,1,2,3.2,1.04,0.12,11,0.424
MID_00299,892.11,3,2,4.1,1.56,0.016,17,0.327
MID_00300,530.65,3,1,4.3,1.12,0.145,18,0.372
MID_00301,7579.09,4,2,3.5,2.51,0.146,25,0.286
MID_00302,7779.1,3,3,3.3,1.52,0.061,10,0.263
MID_00303,10145.37,3,1,5.0,1.86,0.105,18,0.495
MID_00304,12949.61,5,1,3.6,1.35,0.108,24,0.361
MID_00305,37235.57,3,2,4.2,1.62,0.155,30,0.529
MID_00306,7262.91,1,3,4.8,0.68,0.318,28,0.474
MID_00307,3900.2,5,3,3.5,1.02,0.049,12,0.158
MID_00308,15856.54,4,4,5.0,2.21,0.128,11,0.299
MID_00309,3158.51,5,0,4.2,2.35,0.244,17,0.294
MID_00310,5779.83,4,2,4.3,2.28,0.111,23,0.323
MID_00311,817.05,2,3,3.7,1.12,0.388,19,0.243
MID_00312,256.78,2,5,3.6,2.58,0.123,20,0.159
MID_00313,32873.8,1,3,2.4,2.55,0.451,21,0.358
MID_00314,18077.68,4,1,4.0,1.44,0.27,11,0.388
MID_00315,11906.43,3,4,3.9,1.75,0.045,27,0.337
MID_00316,5258.6,1,3,3.2,1.39,0.096,21,0.366
MID_00317,1903.07,2,6,4.4,1.43,0.082,15,0.188
MID_00318,1701.21,3,0,5.0,1.7,0.342,17,0.421
MID_00319,2880.06,3,0,3.3,2.1,0.1,12,0.355
MID_00320,7967.91,3,3,3.2,1.48,0.271,30,0.284
MID_00321,12538.49,4,1,4.0,3.03,0.305,21,0.35
MID_00322,10793.9,5,2,3.2,0.82,0.041,28,0.309
MID_00323,3284.12,5,0,4.9,2.67,0.203,18,0.343
MID_00324,30981.03,4,2,4.2,2.24,0.064,13,0.42
MID_00325,13390.17,5,5,4.4,2.53,0.133,16,0.157
MID_00326,8082.3,2,1,5.0,1.62,0.186,30,0.557
MID_00327,9460.3,2,1,5.0,0.56,0.319,20,0.53
MID_00328,5440.38,2,2,4.0,1.04,0.039,19,0.428
MID_00329,2846.61,5,0,4.4,1.58,0.255,13,0.303
MID_00330,4400.14,1,0,4.7,1.68,0.383,28,0.558
MID_00331,14181.82,2,0,4.1,1.22,0.08,29,0.624
MID_00332,144.98,3,1,3.7,1.24,0.178,19,0.326
MID_00333,1233.8,1,6,3.4,1.37,0.124,14,0.161
MID_00334,470.94,3,1,4.3,0.5,0.286,17,0.352
MID_00335,415.81,1,3,5.0,2.1,0.017,30,0.459
MID_00336,19342.03,2,1,3.2,2.09,0.321,15,0.435
MID_00337,12162.41,3,0,4.3,2.87,0.153,25,0.512
MID_00338,6427.85,1,1,4.3,1.24,0.171,14,0.508
MID_00339,1029.57,2,2,3.7,1.81,0.053,24,0.365
MID_00340,6765.18,1,0,5.0,0.97,0.209,18,0.614
MID_00341,6414.5,2,3,3.5,0.16,0.178,26,0.37
MID_00342,1901.95,3,3,3.1,1.69,0.343,16,0.156
MID_00343,5688.99,3,0,4.5,1.17,0.258,18,0.46
MID_00344,5083.37,3,0,3.1,1.1,0.113,20,0.408
MID_00345,9567.22,1,1,3.4,0.65,0.228,17,0.491
MID_00346,10081.15,5,1,3.9,0.57,0.159,12,0.324
MID_00347,463.62,3,2,4.3,1.28,0.22,27,0.333
MID_00348,4693.84,5,5,4.8,0.57,0.202,21,0.152
MID_00349,9831.25,5,0,2.6,1.31,0.117,30,0.347
MID_00350,6994.39,2,2,4.7,0.93,0.04,29,0.519
MID_00351,19413.49,4,2,4.0,0.79,0.035,18,0.427
MID_00352,10749.75,5,1,3.3,3.0,0.19,25,0.282
MID_00353,1778.53,2,1,4.2,0.92,0.113,30,0.479
MID_00354,731.82,1,2,3.8,1.58,0.288,29,0.393
MID_00355,10283.94,1,2,3.9,2.1,0.098,23,0.494
MID_00356,268.69,2,1,3.5,0.72,0.415,25,0.349
MID_00357,8813.47,1,3,4.8,1.18,0.108,15,0.476
MID_00358,28172.55,3,2,3.2,1.47,0.179,11,0.391
MID_00359,8567.82,1,3,4.0,0.84,0.108,19,0.446
MID_00360,4913.01,3,3,3.1,1.84,0.116,18,0.234
MID_00361,10308.27,2,5,4.1,2.23,0.111,11,0.261
MID_00362,6129.56,4,2,3.7,3.02,0.094,16,0.256
MID_00363,7888.14,4,4,2.7,1.07,0.039,17,0.164
MID_00364,28381.27,6,2,3.3,1.15,0.422,27,0.258
MID_00365,4879.28,2,0,4.9,3.06,0.023,27,0.566
MID_00366,32490.92,3,2,3.4,1.38,0.258,15,0.41
MID_00367,23575.76,4,3,3.8,1.04,0.279,15,0.317
MID_00368,2178.96,2,1,4.0,2.11,0.275,27,0.405
MID_00369,718.84,3,2,4.4,1.09,0.342,14,0.278
MID_00370,1062.25,3,2,2.8,0.94,0.142,11,0.218
MID_00371,183.9,2,2,4.8,0.53,0.356,15,0.358
MID_00372,992.05,3,1,4.0,0.64,0.325,11,0.309
MID_00373,11488.75,4,1,4.1,1.73,0.224,24,0.4
MID_00374,738.5,3,0,4.6,2.03,0.138,16,0.419
MID_00375,3841.57,3,1,4.6,2.17,0.331,23,0.381
MID_00376,18635.26,2,0,3.4,0.4,0.055,11,0.568
MID_00377,235.47,5,3,3.5,1.7,0.293,14,0.066
MID_00378,16845.31,1,1,2.8,1.16,0.057,10,0.504
MID_00379,3310.83,2,3,4.4,1.79,0.278,19,0.319
MID_00380,1257.5,4,2,3.6,2.32,0.275,25,0.21
MID_00381,11931.55,3,0,3.5,1.55,0.344,19,0.43
MID_00382,9913.99,2,4,4.0,2.54,0.097,21,0.332
MID_00383,20994.16,0,0,2.9,2.12,0.171,29,0.65
MID_00384,13282.94,3,2,4.4,1.25,0.192,14,0.413
MID_00385,16269.96,4,1,3.9,1.85,0.138,21,0.424
MID_00386,3313.34,6,2,5.0,1.08,0.334,10,0.178
MID_00387,1953.33,3,1,4.3,2.44,0.242,11,0.317
MID_00388,13887.56,4,1,3.8,1.91,0.08,14,0.391
MID_00389,16442.09,2,4,4.0,1.71,0.265,16,0.341
MID_00390,46570.05,4,2,4.3,0.82,0.101,10,0.451
MID_00391,5320.79,3,1,3.8,0.97,0.022,19,0.42
MID_00392,4652.44,4,2,3.9,3.05,0.252,24,0.248
MID_00393,14979.55,3,0,4.3,0.63,0.161,13,0.533
MID_00394,4167.34,3,1,4.2,0.46,0.087,11,0.403
MID_00395,26701.38,3,4,3.8,1.56,0.054,21,0.38
MID_00396,19548.39,1,1,4.9,1.41,0.078,11,0.637
MID_00397,5603.56,6,2,4.3,1.75,0.091,26,0.246
MID_00398,13897.85,6,1,4.3,0.8,0.098,29,0.389
MID_00399,14046.33,0,1,4.3,2.76,0.112,19,0.615
MID_00400,1088.38,1,0,4.3,0.55,0.058,25,0.58
MID_00401,23284.46,4,2,4.7,1.26,0.218,27,0.468
MID_00402,7037.07,1,4,5.0,2.64,0.083,28,0.442
MID_00403,17513.33,5,2,4.6,0.8,0.168,28,0.411
MID_00404,3857.35,3,4,3.7,1.86,0.127,25,0.231
MID_00405,22587.91,3,2,4.1,2.83,0.246,24,0.432
MID_00406,4929.88,4,2,5.0,1.87,0.226,20,0.332
MID_00407,108.97,3,2,3.9,2.82,0.108,17,0.264
MID_00408,23579.07,4,3,3.9,1.85,0.351,23,0.319
MID_00409,957.26,3,1,5.0,2.3,0.332,18,0.357
MID_00410,3846.54,4,4,5.0,1.1,0.398,28,0.23
MID_00411,29969.72,2,2,4.4,1.24,0.072,18,0.566
MID_00412,30079.5,3,3,3.2,1.94,0.195,25,0.379
MID_00413,8519.97,4,4,5.0,1.59,0.25,20,0.265
MID_00414,9992.3,4,1,3.3,1.17,0.164,12,0.324
MID_00415,5950.15,3,1,4.6,1.0,0.067,22,0.474
MID_00416,3470.23,3,3,3.1,1.57,0.327,13,0.167
MID_00417,3984.86,5,1,4.9,0.78,0.156,26,0.373
MID_00418,11163.24,3,0,4.6,1.3,0.163,26,0.555
MID_00419,13958.38,5,1,4.5,1.63,0.208,11,0.353
MID_00420,15681.95,4,2,2.7,2.28,0.192,24,0.289
